playerId,name,url
422533,R. Sadiku,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/21032499.png
431961,S. Sinyan,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/53114986.png
434427,D. Celea,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/57120084.png
435748,V. Screciu,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/12.00/57148627.png
444594,S. Ngezana,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/65036380.png
446838,G. Turda,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.13/57151362.png
447420,A. Pascanu,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/57149439.png
462140,J. Cisse,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/13.08/48043512.png
544466,Claudio Silva,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.11/83174748.png
545792,A. Marginean,https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/57161718.png
