Player,Age,Height,Foot
Joao Ferreira,19,1.87m,Left
Cristian Ganea,33,1.76m,Left
Reginaldo,23,1.75m,Left
Alexandru Telehoi,16,1.80m,Left
Dan Sirbu,22,1.86m,N/A
Ionut Cercel,18,1.86m,Right
Fabinho,24,1.83m,Right
Darius Grosu,23,1.73m,Both
Mario Aioanei,20,1.76m,Right
Rares Munteanu,17,N/A,N/A
Costyn Gheorghe,17,1.82m,Right
Victor Dican,24,1.92m,Right
Nicolas Popescu,22,1.87m,Left
Dragos Nedelcu,28,1.89m,N/A
Luca Banu,20,1.78m,Right
Razvan Marincean,16,N/A,N/A
Constantin Grameni,22,1.79m,Left
Ionut Vina,30,1.80m,Left
Carlo Casap,26,1.78m,Left
Andrei Ciobanu,27,1.76m,Right
Ianis Podoleanu,17,1.83m,Right
Eduard Radaslavescu,20,1.81m,Right
Luca Basceanu,19,1.75m,N/A
Patrick Budescu,14,N/A,N/A
Ionut Cojocaru,21,1.83m,Left
Luca Andronache,21,1.89m,Right
Alin Cocos,18,1.85m,Right
Cristian Sima,18,N/A,N/A
Narek Grigoryan,24,1.80m,Left
Iustin Doicaru,18,1.80m,Left
George Merloi,25,1.70m,Left
Robert Mustaca,22,N/A,N/A
Denis Alibec,34,1.87m,Left
Rivaldinho,30,1.87m,Both
Alexandru Stoian,17,1.83m,Right
Gabriel Iancu,31,1.86m,Left
Daniel Kivinda,20,1.79m,Right
,16,1.87m,Left
Isaque Ferreira,18,1.86m,Left
Lukas Zima,31,1.96m,Right
Raul Balbarau,24,1.89m,Right
Oscar Linner,28,1.99m,Right
Mihai Esanu,26,1.88m,Right
Andrei Jercalau,20,N/A,N/A
Marian Huja,25,1.93m,Left
Yohan Roche,27,1.88m,Right
Alexandru Stanica,24,1.81m,Right
Paul Papp,35,1.88m,Right
Guilherme Garutti,31,1.94m,Right
Hasan Jahic,23,1.93m,Right
Valentin Ticu,24,N/A,Left
Ioan Tolea,22,1.80m,Left
Bogdan Marian,20,1.80m,Left
Ricardinho,31,1.79m,Right
Denis Radu,22,1.76m,Both
